app_id,title,description
d6e49a3c-2f9f-4bfa-8c26-5d024faf2241,FAQ Accordion Product Info,Add a custom FAQ accordion with answers to commonly asked product info questions! Enable your most popular question to remain open.
d6e49a3c-2f9f-4bfa-8c26-5d024faf2241,FAQ Accordion Refund Policy,Give your customers answers to refund policy questions and other frequently asked questions.
d6e49a3c-2f9f-4bfa-8c26-5d024faf2241,FAQ Accordion Page Builder,"Reduce support time and answer common questions such as product info, returns, cancellation and shipping information in an FAQ page."
9e4748a9-7eda-4814-83b6-0537d44152b1,Translate your store easily,Add 100+ languages in your store. Increase your global sales by reaching new customers
0ef0087f-3ae5-4dbc-84e0-193b576d82ed,Improve Conversions & Revenue,"Wheel of Fortune, Currency Converter, Animated Add To Cart Button, Animated Checkout Button, Instant Page Loader & more"
d1476138-a608-4bb9-8d39-b30f3ca7617d,Quick and Easy Install,No coding skills or changes required! Customise the layout and format with ease.
9e4748a9-7eda-4814-83b6-0537d44152b1,Powerful translation tool,Talk to your visitors in their native language which will help to increase the conversion rate
9e4748a9-7eda-4814-83b6-0537d44152b1,Quick and easy setup,Start translating instantly — no coding skills required
0ef0087f-3ae5-4dbc-84e0-193b576d82ed,Create Emergency & Easy to Use,"Cart Reserved, Search Autocomplete, Back to Top button, Geolocation Redirect, Open External Links in New Tabs & more"
d1476138-a608-4bb9-8d39-b30f3ca7617d,Use Custom brand images,Display the brand image you want. No need for setting up lots of individual brand collection pages.
d1476138-a608-4bb9-8d39-b30f3ca7617d,Bonus Brand Slider,Add a Brand Slider to your store to highlight your favourite brands to your shoppers!
0ef0087f-3ae5-4dbc-84e0-193b576d82ed,Many More Benefits,"Quick Add To Cart Buttons, Advanced Cookie Bar, Advanced Shipping Bar, Cart Favicon, Page Title on Inactive Tab, Copy Protection Plus & more"
7aac2a1f-ff03-4f38-aeb7-7619403a6f05,Drive Organic App Installs,Organically keep increasing your mobile app installs by displaying an app download bar on your desktop & mobile websites.
c13bfb7f-8b5a-40c6-a338-dbdec5cfd130,As simple as it gets,Takes the complexity out of setting up a Google Shopping campaign. You just download EASY Product Feed and you're good to go.
6a71634f-f94f-498d-8713-d2b01ca90917,perfect!,The perfect connection to the PosBill Solution!
7aac2a1f-ff03-4f38-aeb7-7619403a6f05,Quick & Easy Setup,Quick and simple set up that takes less than 5 minutes.
7aac2a1f-ff03-4f38-aeb7-7619403a6f05,Smart Mobile Redirect,Automatically detect the device of the mobile browser (Android or iOS) & redirect users to the Play store or the App store respectively.
c13bfb7f-8b5a-40c6-a338-dbdec5cfd130,"Free up to 5,000 products",... plus all the variants you want. And no usage charges.
c13bfb7f-8b5a-40c6-a338-dbdec5cfd130,Start making sales,Comes with great PDF guides on how to run your Google Shopping - written by a pro.
6a71634f-f94f-498d-8713-d2b01ca90917,Exclusive!,Be fast! Save your discount!
6a71634f-f94f-498d-8713-d2b01ca90917,flexible!,Get the exclusive offer right now!
da50f0bf-d116-46a0-b0c1-0d90c05d8ffe,Easy to use,With just a few clicks. All you have to do is to upload your CSV orders file (with 2 provided simple templates).
3c89c108-4858-4b07-893a-460ea5a0d91a,One click to import,Fast import - with one click we will import / copy all information (title - images - description - price - variants - handle ...)
da50f0bf-d116-46a0-b0c1-0d90c05d8ffe,Time-saving,"Instead of editing and fulfilling orders one by one, with Bulk Fulfill, you can handle these works in bulk."
da50f0bf-d116-46a0-b0c1-0d90c05d8ffe,Quick and concise,"Having passed a strict QA/QC phase, Bulk Fulfill processes orders under a minute and returns you 100% accurate results as expected."
3c89c108-4858-4b07-893a-460ea5a0d91a,We fully support big platforms,We get all product information from big platforms like Shopify - Woocommerce - Amazon ...
3c89c108-4858-4b07-893a-460ea5a0d91a,Import unlimited products,Now you can import unlimited products a in short time. Win your time
89735c3c-4d25-40f2-8b54-150f59cfb099,Target your audience better,Automatic location-based currency conversion and custom tooltip currencies allows for a more personalized feel to your store.
89735c3c-4d25-40f2-8b54-150f59cfb099,Appeal to BTC supporters,Bitcoin supporters/evangelists will appreciate you legitimizing the currency for use in commerce.
89735c3c-4d25-40f2-8b54-150f59cfb099,Easier & faster vs other apps,"The app's code is optimized so it doesn't delay load times of your store's pages (or edit your theme's files), unlike other currency apps."
c382563a-9cd7-4b62-ae17-50c4073e47f3,Custom Excel and CSV Reports,"Create Excel or CSV including: Orders,  Products, Customers. Set custom column order & names. Use  filters. Choose from 400+ fields!"
45819275-6f97-44b2-8f8b-6acd585d693d,商品をnote上で効果的に紹介できます。,"商品ストーリーやバックグラウンドをnote上でアピールする際に、
shopping for noteを活用して商品をより魅力的に表示することで、顧客に一層商品を印象付けることが可能になります。コンテンツマーケに最適な表示が可能です。"
