show_id,type,release_year,rating,duration
s1,TV Show,2020,TV-MA,4 Seasons
s2,Movie,2016,TV-MA,93 min
s3,Movie,2011,R,78 min
s4,Movie,2009,PG-13,80 min
s5,Movie,2008,PG-13,123 min
s6,TV Show,2016,TV-MA,1 Season
s7,Movie,2019,TV-MA,95 min
s8,Movie,1997,R,119 min
s9,Movie,2019,TV-14,118 min
s10,Movie,2008,TV-MA,143 min
s11,Movie,2017,TV-MA,103 min
s12,TV Show,2018,TV-MA,1 Season
s13,TV Show,2019,TV-MA,1 Season
s14,Movie,2018,TV-MA,89 min
s15,Movie,2019,R,91 min
s16,Movie,2014,TV-14,149 min
s17,TV Show,2018,TV-14,1 Season
s18,Movie,2018,R,144 min
s19,Movie,2019,TV-14,124 min
s20,Movie,2017,TV-PG,87 min
s21,Movie,2018,TV-14,110 min
s22,Movie,2018,TV-14,128 min
s23,Movie,2017,TV-14,117 min
s24,Movie,2017,TV-14,100 min
s25,TV Show,2020,TV-14,2 Seasons
s26,Movie,2015,NR,84 min
s27,TV Show,2020,TV-MA,1 Season
s28,Movie,2020,TV-MA,99 min
s29,Movie,2019,TV-14,95 min
s30,TV Show,2020,TV-MA,1 Season
s31,Movie,2020,TV-14,90 min
s32,Movie,2018,TV-G,102 min
s33,Movie,2020,TV-G,104 min
s34,Movie,2017,TV-14,99 min
s35,Movie,2018,TV-14,105 min
s36,Movie,2016,TV-PG,56 min
s37,Movie,2014,TV-MA,125 min
s38,Movie,2016,TV-MA,119 min
s39,TV Show,2016,TV-14,1 Season
s40,Movie,2019,TV-MA,81 min
s41,Movie,2015,TV-14,97 min
s42,Movie,2017,TV-MA,106 min
s43,Movie,2010,TV-MA,99 min
s44,Movie,2020,TV-MA,107 min
s45,Movie,2005,PG-13,93 min
s46,TV Show,2013,TV-MA,1 Season
s47,Movie,2014,TV-PG,89 min
s48,Movie,2017,TV-14,105 min
s49,Movie,2017,TV-14,87 min
s50,Movie,2012,TV-14,97 min
s51,Movie,2008,PG-13,109 min
s52,TV Show,2018,TV-14,1 Season
s53,Movie,2018,TV-MA,93 min
s54,TV Show,2020,TV-14,1 Season
s55,Movie,2016,TV-MA,109 min
s56,Movie,2014,TV-Y,44 min
s57,Movie,2016,TV-14,75 min
s58,Movie,2020,TV-14,101 min
s59,TV Show,2017,TV-14,1 Season
s60,Movie,2014,TV-14,89 min
s61,Movie,2017,TV-MA,90 min
s62,TV Show,2014,TV-14,1 Season
s63,Movie,2015,NR,90 min
s64,TV Show,2020,TV-MA,4 Seasons
s65,TV Show,2019,TV-MA,3 Seasons
s66,Movie,2014,R,93 min
s67,Movie,2016,TV-MA,101 min
s68,Movie,2017,,37 min
s69,Movie,2010,R,113 min
s70,Movie,2018,TV-MA,89 min
s71,Movie,2016,TV-MA,84 min
s72,Movie,2006,PG-13,102 min
s73,Movie,2009,PG-13,102 min
s74,Movie,2020,TV-MA,114 min
s75,Movie,2016,R,130 min
s76,Movie,2019,TV-MA,90 min
s77,Movie,2018,TV-MA,94 min
s78,Movie,2008,TV-MA,97 min
s79,Movie,2014,TV-PG,143 min
s80,Movie,2013,PG-13,91 min
s81,TV Show,2013,TV-MA,1 Season
s82,Movie,2015,TV-PG,107 min
s83,Movie,2018,TV-14,95 min
s84,Movie,2016,R,119 min
s85,Movie,2013,R,93 min
s86,TV Show,2019,TV-MA,1 Season
s87,TV Show,2018,TV-14,1 Season
s88,TV Show,2017,TV-MA,1 Season
s89,Movie,2016,TV-MA,101 min
s90,Movie,2017,R,93 min
s91,Movie,2016,TV-14,140 min
s92,Movie,2012,TV-MA,135 min
s93,Movie,2018,TV-MA,82 min
s94,Movie,2017,TV-MA,70 min
s95,Movie,2000,PG-13,104 min
s96,TV Show,2016,TV-PG,1 Season
s97,Movie,2014,PG-13,117 min
s98,Movie,2003,TV-MA,121 min
s99,Movie,2015,PG-13,92 min
s100,Movie,2016,TV-PG,124 min
s101,Movie,2009,PG-13,164 min
s102,Movie,2018,TV-PG,53 min
s103,Movie,2015,TV-MA,93 min
s104,Movie,2016,TV-14,91 min
s105,Movie,2011,R,83 min
s106,Movie,1989,TV-14,93 min
s107,Movie,2020,TV-MA,114 min
s108,Movie,2020,TV-MA,116 min
s109,TV Show,2019,TV-Y7,2 Seasons
s110,Movie,2019,TV-14,93 min
s111,Movie,2017,TV-MA,81 min
s112,TV Show,2018,TV-Y7,2 Seasons
s113,TV Show,2019,TV-MA,1 Season
s114,Movie,2017,TV-G,84 min
s115,Movie,2019,TV-MA,105 min
s116,Movie,2015,NR,86 min
s117,Movie,2019,TV-MA,120 min
s118,Movie,2017,TV-MA,106 min
s119,Movie,2014,PG-13,92 min
s120,Movie,2018,TV-14,96 min
s121,Movie,2014,R,97 min
s122,Movie,2004,PG-13,99 min
s123,Movie,2011,R,100 min
s124,Movie,2012,TV-14,126 min
s125,Movie,2019,TV-14,96 min
s126,Movie,2018,TV-MA,75 min
s127,Movie,2017,R,94 min
s128,Movie,2019,R,129 min
s129,Movie,2015,TV-MA,80 min
s130,Movie,2014,TV-MA,103 min
s131,TV Show,2019,TV-MA,1 Season
s132,Movie,2017,R,96 min
s133,TV Show,2019,TV-14,1 Season
s134,Movie,2016,TV-MA,77 min
s135,TV Show,2018,TV-PG,1 Season
s136,Movie,2018,TV-PG,137 min
s137,Movie,2011,TV-MA,148 min
s138,TV Show,2016,TV-PG,1 Season
s139,TV Show,2018,TV-14,1 Season
s140,TV Show,2017,TV-14,1 Season
s141,TV Show,2016,TV-PG,1 Season
s142,TV Show,2020,TV-MA,2 Seasons
s143,TV Show,2016,TV-PG,1 Season
s144,Movie,2019,TV-MA,123 min
s145,Movie,2016,TV-PG,121 min
s146,Movie,2011,PG,95 min
s147,Movie,2019,TV-PG,28 min
s148,Movie,2020,TV-PG,99 min
s149,Movie,2017,R,104 min
s150,Movie,2011,TV-14,122 min
s151,Movie,2016,TV-14,104 min
