Year,Product Type,Product/Title,Plot/Notes
1969,Car,"Chrysler ""Scuba Diver""[4]","A scuba diver in a dreamy sequence with groovy music introduces Chrysler as ""the Possible Dream."""
1970,Car,"Pontiac""Humbler""","A young man pulled up in his GTO to a drive-in restaurant with dramatic music and exhaust noise in the background, pulling the ""exhaust"" knob to activate the vacuum operated exhaust, drowning the noise out, and then drive off."
1975,Security,"Master Lock""Rifle""","A man attempts to break a Master Lock with a rifle. He fails, but does put a bullet hole in the lock."
1976,Copy,"Xerox""Monks""","A monk must make 500 handwritten scriptures for his boss. He obviously goes to Xerox, and delivers the scriptures. The boss looks to the heavens and says, ""It's a miracle""."
1979,Soft drink,"Coca-Cola""Hey Kid, Catch!""","A young kid tries to talk to ""Mean"" Joe Greene by the locker room after a game.  Greene is his usual ""mean"" self until the kid insists Greene has his Coke.  After Greene drinks the Coke, he ""sweetens"" up and offers the kid his jersey, saying, ""Hey, Kid...Catch."""
1981,Camera,"Polaroid""Now with a Flash""","A couple walks in a park. The man shows that now you can have a flash on your Polaroid Camera, showing brighter photos."
1982,Computer,"RadioShack""Color Computer""",A commercial for the TRS-80 computer.
1982,Restaurant,"McDonald's""Hopscotch""","Two kids are playing hopscotch while singing the McDonald's menu. Soon, the whole neighborhood joins in."
1984,Computer,"Apple Inc.""1984""","In what some call the greatest Super Bowl commercial of all time, an Olympian runs to save a race of hypnotized humans from their computer overlord. Being chased by police, the Olympian throws a hammer at the screen overlord and a beacon of light shines, to the amazement of the followers. The caption reads, ""On January 24th, Apple Computer will introduce Macintosh. And you'll see why 1984 won't be like '1984.'"" This ad is based on the George Orwell book Nineteen-Eighty Four"
1984,Computer,"Atari""Get Started"""
1984,Beer,"Miller Lite""Train"""
1984,Security,"Master Lock""The Doubters"
1988,Food,Doritos tortilla chips,"Two guys in a laundromat try to impress a girl (Ali Landry) by eating Doritos, and she outdoes them."
1989,Beer,Budweiser,"""Bud Bowl I""",A team of Budweiser beer bottles compete against Bud Light beer bottles in a simulated football game.[5]
1990,Car,"Nissan""Turbocharged Dream""","A Nissan 300ZX Turbo is challenged by a sportbike, racing car and a jet fighter respectively.Director: Ridley Scott[6][7][8]"
1990,Credit card,"American Express""The Race""",Paul Newman races a Top-Fuel Dragster on a Mini-Bike.
1992,Soft Drink,"Pepsi""Cindy Crawford""",Two Boys see Cindy Crawford pulling up at a vending machine drinking a can of Pepsi.
1993,Restaurant,"McDonald's""Showdown""",Michael Jordan and Larry Bird play an outrageous game of Horse. The prize: A Big Mac.[5]
